Algorithme;Tissu;Compose;Fichier_Data;Pretraitement;Variables_Latentes;Hyperparametres;RMSEP_Attendu;R2p_Attendu;Dossier_Pack_Modeles
pls;meso_frais;total.carotene;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(0, 2, 21)));3.0;;451.0362;0.6081;PRODUCTION/modeles_pack/pls/meso_frais/total.carotene
pls;meso_frais;total.beta.carotene;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,21)));3.0;;255.7709;0.5974;PRODUCTION/modeles_pack/pls/meso_frais/total.beta.carotene
pls;meso_frais;X9.cis.beta.carotene;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15)));5.0;;39.9783;0.6302;PRODUCTION/modeles_pack/pls/meso_frais/X9.cis.beta.carotene
pls;meso_frais;X13.cis.beta.carotene;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'));3.0;;26.9438;0.3664;PRODUCTION/modeles_pack/pls/meso_frais/X13.cis.beta.carotene
pls;meso_frais;C18.0;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));3.0;;1.3326;0.209;PRODUCTION/modeles_pack/pls/meso_frais/C18.0
pls;meso_frais;C18.1n7;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3.0;;0.611;0.0633;PRODUCTION/modeles_pack/pls/meso_frais/C18.1n7
pls;meso_frais;C18.1n9;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15)));5.0;;2.4315;0.7955;PRODUCTION/modeles_pack/pls/meso_frais/C18.1n9
pls;meso_frais;C18.2;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));6.0;;1.0638;0.5963;PRODUCTION/modeles_pack/pls/meso_frais/C18.2
pls;meso_frais;C16.0;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));5.0;;2.3018;0.8051;PRODUCTION/modeles_pack/pls/meso_frais/C16.0
pls;meso_frais;C14.0;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(1000,750,1)),list('snv',''),list('sder',c(2,3,15)));4.0;;0.2472;0.3756;PRODUCTION/modeles_pack/pls/meso_frais/C14.0
pls;meso_frais;eau;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));4.0;;2.9214;0.8973;PRODUCTION/modeles_pack/pls/meso_frais/eau
pls;meso_frais;ratio.alpha.beta;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1300,1)), list('ref2abs',''),list('snv',''), list('sder',c(1,3,15)));2.0;;0.3871;0.2875;PRODUCTION/modeles_pack/pls/meso_frais/ratio.alpha.beta
pls;meso_frais;tlip.MS;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3.0;;3.0273;0.5396;PRODUCTION/modeles_pack/pls/meso_frais/tlip.MS
pls;meso_frais;ratio.alpha.natif;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''), list('red',c(1,1300,1)), list('ref2abs',''), list('snv',''), list('sder',c(1,3,15)));2.0;;0.0886;0.3401;PRODUCTION/modeles_pack/pls/meso_frais/ratio.alpha.natif
pls;meso_frais;C20.0;dat_mean_Meso_frais_2425.csv;rbind(list('adj',''),list('red',c(800,750,1)),list('snv',''),list('sder',c(2,3,15)));3.0;;0.1058;0.0926;PRODUCTION/modeles_pack/pls/meso_frais/C20.0
