"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
4;4;336,536076013165;309,86128642462;26,6747895885448;26,6747895885448
7;7;245,049532268874;331,889492244606;-86,8399599757318;86,8399599757318
12;14;669,729965260912;704,377311619564;-34,6473463586524;34,6473463586524
21;28;204,255033185937;178,267629977768;25,9874032081688;25,9874032081688
29;41;417,253677414662;594,219049473301;-176,965372058639;176,965372058639
31;43;442,582710081673;484,366545791762;-41,7838357100892;41,7838357100892
33;45;332,159283616622;345,818137458126;-13,6588538415041;13,6588538415041
34;46;189,07309842437;265,686799075137;-76,6137006507673;76,6137006507673
35;47;543,092011300989;580,211444859352;-37,1194335583632;37,1194335583632
39;51;379,39994258834;503,859750945392;-124,459808357052;124,459808357052
53;68;903,604232887854;705,505768234025;198,098464653829;198,098464653829
56;72;329,962869910721;311,445825540672;18,5170443700486;18,5170443700486
74;94;232,983402619348;331,187660766898;-98,2042581475497;98,2042581475497
75;95;260,086581287824;358,64715257117;-98,5605712833461;98,5605712833461
77;97;255,913509576155;251,452861071823;4,4606485043324;4,4606485043324
83;105;302,995464922943;334,321795300297;-31,3263303773544;31,3263303773544
85;108;344,715080325173;307,075900185278;37,6391801398946;37,6391801398946
86;109;226,869401320097;277,670889506158;-50,8014881860609;50,8014881860609
92;116;209,129762386757;298,479337823409;-89,3495754366519;89,3495754366519
101;178;333,311862506631;409,673717401984;-76,361854895353;76,361854895353
107;184;371,953165265395;459,75461453961;-87,8014492742154;87,8014492742154
108;185;324,892573057394;492,739591836259;-167,847018778865;167,847018778865
110;187;488,958764248156;491,50464641556;-2,54588216740433;2,54588216740433
121;204;539,987879225783;566,993735016075;-27,0058557902921;27,0058557902921
126;209;302,420549301278;336,358767522057;-33,9382182207785;33,9382182207785
128;212;305,11020774517;314,640772820727;-9,53056507555658;9,53056507555658
130;216;565,62882111465;489,798302249329;75,8305188653214;75,8305188653214
