"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;"M100";0,9;0,693296572899574;0,206703427100426;0,206703427100426
3;"M103";0,5;0,54861851666938;-0,04861851666938;0,04861851666938
5;"M109";0,3;0,163622867838393;0,136377132161607;0,136377132161607
8;"M117";0,2;0,520010242085805;-0,320010242085805;0,320010242085805
15;"M148";1,2;1,14113964113677;0,0588603588632317;0,0588603588632317
16;"M149";0,8;0,81130107966742;-0,0113010796674202;0,0113010796674202
25;"M164";0,7;0,846590811435672;-0,146590811435672;0,146590811435672
26;"M165";1,1158581;0,848776190107467;0,267081909892533;0,267081909892533
35;"M177";1;0,751831211106671;0,248168788893329;0,248168788893329
37;"M18";0,4;0,325367256937279;0,0746327430627213;0,0746327430627213
44;"M193";1,3;0,924124054669112;0,375875945330888;0,375875945330888
47;"M199";1,1664009;0,979382004952575;0,187018895047425;0,187018895047425
57;"M219";1,1;0,555740757132134;0,544259242867866;0,544259242867866
58;"M220";0,6;0,625745488179478;-0,0257454881794782;0,0257454881794782
59;"M223";0,8;0,622695265342767;0,177304734657233;0,177304734657233
64;"M232";0,4;0,498589835662686;-0,098589835662686;0,098589835662686
69;"M239";0,2819844;0,482809541990993;-0,200825141990993;0,200825141990993
74;"M248";0,3;0,580569949965472;-0,280569949965472;0,280569949965472
75;"M25";0,7;0,819452568423462;-0,119452568423462;0,119452568423462
77;"M251";1,1;0,838632005218605;0,261367994781395;0,261367994781395
97;"M289";0,8;0,76378368706228;0,0362163129377204;0,0362163129377204
100;"M291";0,6987605;0,725896168625291;-0,0271356686252908;0,0271356686252908
112;"M40";0,4;0,456981486464466;-0,0569814864644658;0,0569814864644658
113;"M45";0,7;0,618381138434054;0,0816188615659463;0,0816188615659463
123;"M81";1,2;0,604879182521184;0,595120817478816;0,595120817478816
126;"M9";0,7;0,37206987957659;0,32793012042341;0,32793012042341
