"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
2;"M100";499,44229;1258,56464243818;-759,122352438181;759,122352438181
11;"M142";55,61479;123,535852036873;-67,9210620368734;67,9210620368734
16;"M150";526,40438;679,149543258205;-152,745163258205;152,745163258205
18;"M154";927,14057;818,004595065542;109,135974934458;109,135974934458
21;"M161";415,04144;368,805403534183;46,2360364658173;46,2360364658173
41;"M193";829,3349;1004,45050852105;-175,115608521046;175,115608521046
43;"M197";221,9282;519,735234727263;-297,807034727263;297,807034727263
47;"M203";143,47107;195,25808818827;-51,78701818827;51,78701818827
48;"M204";457,65929;388,573162837247;69,0861271627534;69,0861271627534
49;"M207";1107,86692;1179,05598818899;-71,189068188995;71,189068188995
64;"M247";913,6082;1157,85280469667;-244,244604696675;244,244604696675
67;"M251";371,35279;333,566598947238;37,7861910527619;37,7861910527619
72;"M262";288,45193;174,508659472425;113,943270527575;113,943270527575
74;"M264";628,3473;1034,37418643078;-406,026886430776;406,026886430776
75;"M266";1061,28086;950,079040806309;111,201819193691;111,201819193691
78;"M271";367,81741;280,08640099039;87,7310090096097;87,7310090096097
82;"M278";309,0549;393,6687274466;-84,6138274466001;84,6138274466001
86;"M284";230,26114;711,983333067187;-481,722193067187;481,722193067187
89;"M29";212,15665;-11,9446574282301;224,10130742823;224,10130742823
91;"M294";422,52477;417,250463625846;5,27430637415364;5,27430637415364
95;"M304";327,71898;288,928652061978;38,7903279380217;38,7903279380217
96;"M305";368,12635;613,07940392747;-244,95305392747;244,95305392747
113;"M97";206,21265;1111,31518462175;-905,10253462175;905,10253462175
