"Numero_Echantillon";"Identifiant_Ech";"Valeur_Mesuree";"Valeur_Predite";"Ecart_Mesure";"SEP"
7;"M120";736,33713;1159,49072099287;-423,153590992872;423,153590992872
8;"M121";271,3776;523,96564663565;-252,58804663565;252,58804663565
12;"M144";2743,45317;2071,17395276633;672,279217233666;672,279217233666
17;"M153";267,81443;-40,461076530542;308,275506530542;308,275506530542
26;"M167";1312,04316;1263,41482927762;48,6283307223755;48,6283307223755
30;"M175";788,62769;917,939014069426;-129,311324069426;129,311324069426
33;"M178";2159,54469;1910,99473284262;248,549957157376;248,549957157376
34;"M18";1799,6236;1609,73692036037;189,886679639631;189,886679639631
35;"M180";1727,82772;1789,09670860142;-61,268988601417;61,268988601417
36;"M182";2278,73459;1701,33454660506;577,400043394936;577,400043394936
42;"M195";281,76538;437,600568595085;-155,835188595085;155,835188595085
44;"M198";551,82393;489,628178575951;62,1957514240494;62,1957514240494
53;"M224";522,81731;518,654136085098;4,16317391490213;4,16317391490213
54;"M225";1393,69504;1706,1623674169;-312,467327416904;312,467327416904
69;"M255";309,33815;270,071227245687;39,2669227543128;39,2669227543128
81;"M276";1620,86124;1418,23327063723;202,627969362769;202,627969362769
88;"M287";719,15878;763,474723380872;-44,3159433808721;44,3159433808721
92;"M296";457,72411;499,481167259289;-41,7570572592887;41,7570572592887
98;"M31";1237,15125;1791,14350595647;-553,992255956474;553,992255956474
102;"M48";538,26317;270,700758698653;267,562411301347;267,562411301347
105;"M72";2285,01772;1825,76034561595;459,257374384046;459,257374384046
107;"M79";3671,04337;1404,49920413831;2266,54416586169;2266,54416586169
108;"M8";1257,12731;1349,46785634593;-92,3405463459274;92,3405463459274
