Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
5;3;800.0608304763482;1114.961198259159;-314.9003677828107
11;27;557.4003065155251;862.9980937717328;-305.59778725620765
12;199;720.8740052858675;852.2278924750599;-131.3538871891924
19;204;785.8612142180303;717.2347092895825;68.62650492844784
20;70;458.337204377976;774.8087516229442;-316.47154724496824
27;81;595.5636232511472;750.6994427234744;-155.13581947232717
28;200;770.4395432886491;675.3963037964907;95.04323949215848
32;196;725.0180521630168;725.5589740605682;-0.5409218975513568
37;11;817.432542947336;1018.5526926325141;-201.12014968517815
41;178;775.4189154389138;754.6325171487177;20.786398290196075
43;67;397.8028027012872;823.3467142724713;-425.54391157118414
45;92;763.3164372101061;876.7565294677407;-113.44009225763466
48;214;683.9064288389172;761.1424113511524;-77.23598251223518
56;217;654.1971549560483;569.6442341214163;84.552920834632
57;194;713.9634727207548;774.7476695214406;-60.78419680068578
63;117;617.8661232510663;639.0284516503937;-21.162328399327407
65;184;694.2389213281252;764.4209652840668;-70.1820439559416
66;65;510.1032785896693;743.3962491183484;-233.29297052867906
77;85;889.2328881879916;736.9599697056184;152.27291848237326
82;46;772.1139592137328;530.7729251343986;241.34103407933412
84;181;947.3231991340967;795.755613804903;151.56758532919378
99;76;447.3318013065506;745.0433897281722;-297.7115884216216
102;207;904.0398676852387;766.9131013348286;137.1267663504101
109;51;718.5123605618819;807.4450374567969;-88.93267689491495
118;55;827.3742679320446;791.5647710645131;35.80949686753149
128;75;714.2031915970987;870.1068103188804;-155.90361872178175
129;112;503.8953486691217;878.7099304982071;-374.8145818290854
