Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;4;0.3;20.0
2;300;2;1;sqrt;20.0
3;500;5;2;0.3;
4;200;5;2;0.3;10.0
5;200;10;2;sqrt;10.0
6;100;5;4;log2;20.0
7;100;10;2;sqrt;20.0
8;300;2;1;sqrt;10.0
9;500;5;1;sqrt;20.0
10;500;2;1;sqrt;20.0
11;100;5;4;log2;10.0
12;200;2;1;log2;
13;100;2;2;0.3;
14;200;5;2;sqrt;20.0
15;300;2;4;0.3;10.0
16;200;10;1;0.3;20.0
17;100;5;4;log2;
18;200;10;2;sqrt;
19;100;2;2;0.3;10.0
20;100;10;4;log2;20.0
21;300;2;4;0.3;
22;100;2;2;0.3;20.0
23;500;5;1;log2;10.0
24;200;10;1;log2;10.0
25;100;5;1;0.3;10.0
26;300;10;1;sqrt;10.0
27;100;2;1;0.3;20.0
28;100;5;4;0.3;10.0
29;300;10;4;sqrt;10.0
30;100;2;1;0.3;10.0
