Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;0.3;
2;300;2;1;log2;20.0
3;100;10;1;0.3;
4;300;10;2;0.3;20.0
5;500;2;2;0.3;
6;500;5;4;0.3;
7;500;10;1;log2;
8;200;2;4;0.3;10.0
9;100;10;2;0.3;20.0
10;100;5;4;log2;
11;500;10;4;sqrt;20.0
12;500;5;1;sqrt;20.0
13;200;2;2;0.3;10.0
14;500;2;1;log2;20.0
15;100;2;4;log2;
16;500;5;2;sqrt;20.0
17;500;10;4;log2;20.0
18;500;10;1;sqrt;
19;300;10;1;log2;20.0
20;100;2;1;sqrt;20.0
21;200;5;4;0.3;20.0
22;100;10;1;0.3;20.0
23;500;5;4;sqrt;10.0
24;100;5;4;log2;10.0
25;300;2;1;log2;10.0
26;100;10;2;0.3;10.0
27;500;5;1;0.3;
28;300;5;4;sqrt;
29;500;5;4;sqrt;20.0
30;100;2;2;log2;20.0
