Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;0.3;
2;200;5;4;log2;20.0
3;500;10;1;0.3;20.0
4;300;5;2;log2;20.0
5;300;2;2;log2;20.0
6;200;2;2;0.3;20.0
7;500;2;2;log2;
8;500;5;2;log2;20.0
9;100;5;2;0.3;20.0
10;200;5;2;log2;10.0
11;100;10;2;sqrt;
12;100;2;4;0.3;20.0
13;200;2;2;sqrt;10.0
14;100;2;1;0.3;
15;100;2;4;log2;10.0
16;500;5;2;sqrt;10.0
17;100;2;2;log2;
18;300;10;2;log2;20.0
19;100;5;1;log2;
20;100;10;1;sqrt;10.0
21;500;10;2;log2;
22;200;2;2;0.3;
23;200;10;2;0.3;
24;500;5;4;sqrt;
25;500;5;2;0.3;10.0
26;100;10;1;0.3;10.0
27;200;5;1;sqrt;
28;200;5;2;sqrt;20.0
29;100;10;4;sqrt;10.0
30;300;10;1;log2;20.0
