Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;925750;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.4371;25.4038;0.4036;25.1722;1.317
2;739773;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.537;21.9555;0.4082;29.9646;1.3221
3;168974;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));0.5188;23.9005;0.1655;27.2213;1.1134
4;814429;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.417;23.5589;0.5228;29.8237;1.4723
5;712860;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.5144;23.9175;0.3793;23.942;1.2909
6;164056;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.4092;22.1121;0.5443;33.2315;1.5067
7;828541;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.5709;23.2098;0.0044;23.6154;1.0193
8;607009;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.4716;25.3079;0.2963;23.3667;1.2125
9;148333;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.5089;23.9962;0.4242;23.1174;1.3404
10;901647;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');0.459;25.5277;0.4709;19.583;1.3982
