Compose;ID_Pretraitement;Code_R_Pretraitement;Meilleurs_Hyperparam_RF;Rc;R2cv;RMSEC;RMSECV
X9.cis.beta.carotene;1;list('adj',''), list('snv',''), list('sder',c(1,3,5));{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': None};0.967;0.6124;16.811;37.2174
X9.cis.beta.carotene;2;list('adj',''), list('snv',''), list('sder',c(2,3,15));{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 10};0.9656;0.6176;17.2404;36.9682
X9.cis.beta.carotene;3;list('adj',''), list('red',c(1,1300,1));{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 10};0.9241;0.5842;23.7486;38.5489
X9.cis.beta.carotene;4;list('adj',''),list('red',c(950,700,1)),list('snv','');{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10};0.8232;-0.0285;41.2061;60.6284
X9.cis.beta.carotene;5;list('adj',''),list('red',c(950,750,1)),list('snv','');{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10};0.8062;-0.0468;41.8413;61.1648
X9.cis.beta.carotene;6;list('adj',''), list('red',c(1,1000,1)), list('snv','');{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': None};0.9664;0.6297;16.5516;36.3761
X9.cis.beta.carotene;7;list('adj',''), list('red',c(1,1300,1)), list('snv','');{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': None};0.9648;0.6307;16.9922;36.3299
X9.cis.beta.carotene;8;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10};0.9766;0.6342;15.0412;36.1574
X9.cis.beta.carotene;9;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 9));{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 20};0.9678;0.6293;16.2908;36.3995
X9.cis.beta.carotene;10;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 15));{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': None};0.9642;0.6301;17.0801;36.3608
X9.cis.beta.carotene;11;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 21));{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': None};0.9637;0.6354;17.1621;36.0953
X9.cis.beta.carotene;12;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 31));{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': None};0.9633;0.6391;17.1515;35.9152
X9.cis.beta.carotene;13;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 3, 15));{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 20};0.9676;0.629;16.3143;36.4132
