Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;2;log2;10.0
2;500;5;1;log2;
3;200;2;2;log2;
4;300;2;1;sqrt;20.0
5;100;10;2;0.3;10.0
6;200;5;1;0.3;10.0
7;200;2;2;sqrt;10.0
8;100;2;4;log2;20.0
9;100;2;2;0.3;20.0
10;200;2;1;0.3;
11;300;10;4;sqrt;10.0
12;300;10;2;0.3;20.0
13;500;10;2;log2;
14;500;5;4;sqrt;10.0
15;100;2;2;sqrt;20.0
16;100;10;2;sqrt;
17;200;5;1;log2;20.0
18;200;2;2;log2;10.0
19;100;10;2;0.3;20.0
20;200;10;2;0.3;20.0
21;300;5;4;sqrt;20.0
22;300;2;4;0.3;
23;300;5;2;0.3;10.0
24;100;10;4;sqrt;10.0
25;300;5;2;sqrt;
26;300;2;2;sqrt;
27;300;10;4;log2;20.0
28;100;10;2;log2;10.0
29;300;10;1;log2;10.0
30;300;2;2;0.3;20.0
