Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;501689;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.287;74.5768;0.3198;66.8879;1.2332
2;828234;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.2577;70.3887;0.2461;86.8774;1.1714
3;70818;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.3123;72.876;-0.105;81.7043;0.9676
4;70286;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.305;67.2253;0.1999;96.1617;1.1371
5;640472;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.3188;71.3682;0.2051;79.3377;1.1408
6;53496;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.3129;74.3606;0.3836;58.2847;1.2954
7;841323;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.2862;67.1856;0.2475;97.833;1.1725
8;156841;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,11));0.2503;72.0276;0.1945;91.5071;1.1333
9;45793;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,15));0.3361;73.6017;-0.341;80.6788;0.8783
10;995302;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.4013;68.3437;-0.1012;82.3565;0.9692
