Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
1;197;166.53391226730554;177.57149975239378;-11.037587485088238
10;96;247.41245741673544;151.10911814742516;96.30333926931027
13;88;152.71625350400672;194.8146411723498;-42.09838766834309
16;39;185.85177147832772;147.68022796364346;38.17154351468426
23;68;134.80555545276405;148.74712314574612;-13.941567692982062
25;7;116.37757985441075;184.2094702558579;-67.83189040144714
26;28;185.6937853228809;196.96098693416525;-11.26720161128435
29;185;182.06652704758108;206.58304191303412;-24.516514865453047
31;5;263.64021265218787;193.0766804384752;70.56353221371268
34;186;136.1158216335977;161.92659081412577;-25.81076918052807
46;29;198.67460175313892;146.19609535673416;52.478506396404754
52;84;214.15624005234622;154.4548321408383;59.701407911507914
67;220;88.74956810912289;127.1381397779259;-38.38857166880301
68;209;116.17048121004899;112.91827861803351;3.252202592015479
69;215;129.37484506330526;117.92232842557424;11.452516637731023
71;6;320.49109297073204;167.70214640607654;152.7889465646555
79;37;521.4045405391038;312.79956306285015;208.60497747625362
81;8;339.3143110317121;221.27359520779132;118.0407158239208
86;97;150.93621786179756;139.81935438863704;11.116863473160521
90;95;167.43812433730832;130.06601078332528;37.37211355398304
95;198;91.01045190862597;129.8792712871328;-38.86881937850684
96;4;271.5574922087885;155.1683746027063;116.38911760608221
97;18;200.74139263078877;129.70664702092972;71.03474560985904
101;193;173.9218893853456;164.25299688940265;9.668892495942941
115;40;278.7165465038813;152.68162380106588;126.03492270281544
123;93;116.43383080717011;117.91181176265388;-1.4779809554837726
127;21;162.40064518076076;136.8860318711213;25.514613309639458
