Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;2;0.3;10.0
2;500;5;4;0.3;10.0
3;500;10;4;log2;10.0
4;100;10;2;0.3;10.0
5;200;5;4;log2;10.0
6;100;5;1;sqrt;
7;500;2;2;sqrt;
8;500;10;4;sqrt;
9;300;10;4;log2;20.0
10;200;10;2;sqrt;
11;100;5;2;log2;
12;100;5;1;0.3;20.0
13;500;5;1;0.3;20.0
14;100;2;1;sqrt;10.0
15;100;5;1;sqrt;20.0
16;200;10;2;sqrt;10.0
17;100;2;4;sqrt;
18;100;2;4;sqrt;20.0
19;100;10;4;log2;
20;200;2;4;0.3;20.0
21;300;5;2;0.3;10.0
22;200;2;1;sqrt;10.0
23;500;10;4;sqrt;10.0
24;100;2;1;log2;
25;300;5;2;0.3;20.0
26;200;2;2;0.3;10.0
27;300;2;1;log2;20.0
28;200;10;1;sqrt;20.0
29;500;2;4;0.3;20.0
30;500;2;1;log2;
