Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;log2;10.0
2;300;10;1;0.3;
3;300;10;4;log2;
4;100;5;4;0.3;10.0
5;200;5;1;0.3;
6;300;5;4;sqrt;10.0
7;200;10;1;0.3;20.0
8;100;5;2;log2;20.0
9;300;2;4;0.3;20.0
10;200;10;2;log2;
11;100;5;1;log2;20.0
12;200;10;4;0.3;10.0
13;500;5;2;0.3;10.0
14;300;5;4;sqrt;20.0
15;200;10;1;sqrt;
16;500;10;4;sqrt;10.0
17;300;2;4;log2;20.0
18;300;5;2;log2;20.0
19;300;5;2;0.3;10.0
20;200;5;1;log2;
21;300;5;2;sqrt;
22;300;10;4;0.3;10.0
23;500;2;2;0.3;10.0
24;100;5;4;log2;10.0
25;200;2;4;0.3;20.0
26;300;10;4;sqrt;
27;200;2;4;sqrt;10.0
28;100;2;1;0.3;10.0
29;500;5;4;sqrt;10.0
30;500;2;1;log2;10.0
