Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;0.3;20.0
2;300;5;4;0.3;10.0
3;200;10;4;0.3;10.0
4;200;10;4;log2;10.0
5;200;5;2;sqrt;10.0
6;300;10;2;0.3;10.0
7;500;5;2;log2;
8;100;2;1;sqrt;
9;500;5;1;sqrt;20.0
10;500;2;2;0.3;10.0
11;100;10;4;log2;
12;500;10;2;sqrt;20.0
13;100;10;1;0.3;20.0
14;200;10;2;sqrt;20.0
15;500;2;1;log2;10.0
16;100;5;2;0.3;
17;300;5;2;0.3;
18;200;5;2;log2;
19;300;2;4;0.3;
20;300;2;1;0.3;20.0
21;200;10;2;0.3;
22;100;10;1;0.3;10.0
23;200;5;2;sqrt;20.0
24;100;10;1;0.3;
25;300;2;2;log2;10.0
26;500;5;4;log2;10.0
27;100;10;4;0.3;
28;100;5;1;sqrt;10.0
29;500;10;4;0.3;20.0
30;200;10;2;sqrt;10.0
