Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;2;log2;10.0
2;300;10;4;0.3;
3;300;10;1;log2;
4;200;10;1;0.3;10.0
5;200;10;1;sqrt;
6;500;10;4;log2;20.0
7;100;2;2;log2;10.0
8;100;5;4;sqrt;10.0
9;500;2;2;sqrt;10.0
10;300;2;1;sqrt;10.0
11;500;2;1;0.3;10.0
12;300;5;4;log2;10.0
13;300;5;1;log2;20.0
14;100;2;2;0.3;
15;200;2;1;sqrt;20.0
16;100;5;4;sqrt;20.0
17;300;10;4;0.3;10.0
18;500;2;1;log2;
19;200;2;4;log2;20.0
20;100;5;1;sqrt;
21;500;5;2;sqrt;10.0
22;500;5;4;sqrt;20.0
23;100;2;2;sqrt;20.0
24;300;2;4;0.3;20.0
25;200;2;1;0.3;20.0
26;200;5;2;0.3;20.0
27;200;10;4;0.3;20.0
28;300;2;4;log2;
29;200;2;2;sqrt;
30;200;10;2;log2;20.0
