Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;4;log2;
2;500;10;4;log2;10.0
3;200;2;1;0.3;20.0
4;500;2;4;sqrt;10.0
5;300;10;2;log2;
6;300;10;4;log2;10.0
7;200;2;2;sqrt;10.0
8;500;10;1;sqrt;10.0
9;100;5;1;sqrt;
10;300;10;1;log2;10.0
11;500;2;1;0.3;20.0
12;300;10;1;sqrt;20.0
13;200;10;4;0.3;10.0
14;200;2;4;log2;10.0
15;300;5;4;sqrt;
16;500;2;4;0.3;
17;300;5;2;log2;
18;100;10;1;sqrt;10.0
19;300;10;1;0.3;10.0
20;100;10;2;sqrt;10.0
21;200;5;4;log2;20.0
22;100;10;2;log2;20.0
23;100;2;2;sqrt;
24;500;5;1;log2;
25;100;10;1;log2;20.0
26;500;5;4;0.3;10.0
27;200;10;1;0.3;20.0
28;100;10;1;sqrt;20.0
29;100;5;2;log2;
30;500;10;4;0.3;10.0
