Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;sqrt;20.0
2;200;10;4;sqrt;10.0
3;100;10;1;0.3;
4;300;10;4;log2;20.0
5;300;2;2;log2;
6;200;10;4;0.3;
7;200;5;4;0.3;10.0
8;500;10;1;sqrt;
9;200;10;1;sqrt;
10;500;5;4;sqrt;20.0
11;300;10;2;sqrt;10.0
12;100;10;1;0.3;20.0
13;100;10;4;0.3;10.0
14;100;5;4;log2;20.0
15;200;10;2;sqrt;20.0
16;200;5;1;sqrt;20.0
17;200;2;1;sqrt;10.0
18;100;5;2;0.3;10.0
19;300;2;1;log2;
20;300;5;4;0.3;
21;300;10;2;log2;
22;200;2;1;sqrt;20.0
23;300;5;2;0.3;
24;100;2;1;log2;10.0
25;200;2;2;sqrt;10.0
26;100;2;4;log2;10.0
27;100;5;1;sqrt;
28;500;5;1;log2;10.0
29;300;10;4;sqrt;10.0
30;200;2;4;0.3;20.0
