Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;61;0.42712357946373397;0.42425355032169854;0.002870029142035435;0.002870029142035435
11;76;0.46744937913926227;0.43211227210949343;0.03533710702976883;0.03533710702976883
13;206;0.44636317551982474;0.4303083476037724;0.01605482791605234;0.01605482791605234
15;177;0.3644440833847608;0.39418119563209847;-0.02973711224733766;0.02973711224733766
20;22;0.43388103485383167;0.4232466621331817;0.010634372720649987;0.010634372720649987
27;17;0.47269899387492326;0.43563950360367043;0.037059490271252826;0.037059490271252826
49;201;0.42357632576896137;0.4238094216386232;-0.0002330958696618035;0.0002330958696618035
55;4;0.44220861022666486;0.4383878655088151;0.0038207447178497667;0.0038207447178497667
68;202;0.4393824711132289;0.4165500719826356;0.022832399130593317;0.022832399130593317
71;57;0.37141474159669985;0.42435916808270924;-0.05294442648600939;0.05294442648600939
72;103;0.4068445857084068;0.4154328618483365;-0.008588276139929685;0.008588276139929685
75;111;0.3709783268287813;0.4135283747800238;-0.04255004795124251;0.04255004795124251
77;89;0.44028398361912324;0.43362467646395464;0.006659307155168603;0.006659307155168603
83;198;0.4323813883552532;0.4194002648876298;0.012981123467623368;0.012981123467623368
85;72;0.47106337981478236;0.44521427418119097;0.025849105633591385;0.025849105633591385
90;53;0.46393366682873743;0.44132935423034536;0.022604312598392073;0.022604312598392073
100;96;0.3247832070195063;0.37642652395785153;-0.05164331693834523;0.05164331693834523
102;14;0.4556075823106276;0.4318697056290681;0.023737876681559467;0.023737876681559467
103;105;0.34395260020025686;0.39741508445055085;-0.053462484250293985;0.053462484250293985
105;92;0.411263062228455;0.4282659324115592;-0.0170028701831042;0.0170028701831042
107;107;0.45422682476506554;0.43878818585743207;0.015438638907633473;0.015438638907633473
113;90;0.43673748708098487;0.44239968595487755;-0.005662198873892688;0.005662198873892688
120;7;0.47008574161526;0.45251713768169466;0.017568603933565352;0.017568603933565352
123;215;0.419243364921033;0.41946671680339476;-0.0002233518823617775;0.0002233518823617775
129;213;0.4340346456700682;0.4197416175065922;0.014293028163475996;0.014293028163475996
130;85;0.5203624259853412;0.4535840349828287;0.06677839100251254;0.06677839100251254
134;102;0.3618348535601047;0.38540451287563415;-0.023569659315529456;0.023569659315529456
