Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;0.3;10.0
2;100;2;2;sqrt;20.0
3;200;2;1;sqrt;10.0
4;500;5;4;log2;20.0
5;100;5;1;0.3;10.0
6;200;2;4;0.3;20.0
7;500;2;1;sqrt;10.0
8;300;2;1;sqrt;
9;500;10;4;log2;20.0
10;500;5;2;sqrt;20.0
11;100;2;4;log2;
12;500;5;1;0.3;20.0
13;200;2;1;sqrt;
14;100;10;1;0.3;20.0
15;300;5;1;log2;10.0
16;200;5;1;log2;10.0
17;200;2;2;log2;10.0
18;100;10;4;log2;
19;500;10;1;log2;
20;100;5;2;0.3;10.0
21;200;10;2;log2;
22;500;10;4;0.3;
23;500;10;4;0.3;10.0
24;100;2;4;log2;20.0
25;200;2;4;log2;10.0
26;200;5;2;log2;10.0
27;200;10;4;sqrt;
28;200;10;1;0.3;
29;500;10;1;sqrt;
30;100;10;2;log2;
