Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;log2;
2;300;5;2;log2;20.0
3;500;2;1;sqrt;20.0
4;300;2;2;log2;
5;300;2;4;sqrt;10.0
6;500;10;4;0.3;10.0
7;300;2;2;0.3;10.0
8;200;2;2;log2;20.0
9;500;10;1;0.3;20.0
10;300;5;4;log2;20.0
11;500;10;1;sqrt;
12;300;2;1;sqrt;
13;200;5;4;log2;10.0
14;100;10;4;sqrt;20.0
15;200;2;1;log2;10.0
16;500;10;2;0.3;20.0
17;200;10;2;log2;
18;200;5;2;sqrt;10.0
19;100;2;4;sqrt;20.0
20;300;5;2;sqrt;10.0
21;100;5;1;sqrt;10.0
22;300;10;2;0.3;10.0
23;500;5;2;sqrt;10.0
24;100;5;4;0.3;10.0
25;500;2;1;log2;10.0
26;200;5;4;log2;20.0
27;200;10;4;log2;
28;500;5;4;sqrt;20.0
29;300;10;4;sqrt;20.0
30;300;2;2;log2;10.0
