Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
5;89;597.1857279143572;581.4609101824154;15.724817731941812;15.724817731941812
12;218;486.2369922746956;528.7104426293971;-42.47345035470153;42.47345035470153
13;88;509.71996841447543;677.6918921330429;-167.97192371856744;167.97192371856744
18;14;977.5353644167478;665.1215953852504;312.4137690314974;312.4137690314974
19;22;819.5850194538754;732.0750003589826;87.51001909489275;87.51001909489275
35;27;483.3647900112949;778.7524936073675;-295.3877035960726;295.3877035960726
41;4;1160.380361530169;851.6819659981034;308.69839553206566;308.69839553206566
48;57;883.1021834979364;581.3776272752918;301.72455622264454;301.72455622264454
49;183;491.18799812401244;610.6002931924221;-119.41229506840966;119.41229506840966
57;196;561.3081051035333;599.333210537617;-38.025105434083684;38.025105434083684
58;20;592.388664396064;822.4744477285144;-230.08578333245043;230.08578333245043
67;191;635.780201730109;618.692259184857;17.087942545251963;17.087942545251963
73;5;900.6445267375634;712.9447619200348;187.6997648175286;187.6997648175286
75;69;834.0953669933599;588.1052206533024;245.99014634005755;245.99014634005755
86;60;552.9195802164111;538.0338094445484;14.885770771862667;14.885770771862667
92;175;795.7004849802082;595.9008608964178;199.79962408379038;199.79962408379038
97;6;1096.9559121615375;660.2851404659585;436.670771695579;436.670771695579
104;178;701.7447455952642;620.5586781268273;81.18606746843693;81.18606746843693
106;221;136.09617218481142;541.5972522512246;-405.50108006641324;405.50108006641324
107;186;577.4074969498223;597.9181884005673;-20.510691450744957;20.510691450744957
114;36;824.4119337052031;698.5048733098822;125.90706039532085;125.90706039532085
116;61;581.9867798870943;610.69242679937;-28.70564691227571;28.70564691227571
117;107;576.3893682548955;511.71797786655276;64.67139038834279;64.67139038834279
119;30;1040.7562443641152;711.1980683333535;329.55817603076173;329.55817603076173
128;106;207.30166721188505;549.805095780709;-342.503428568824;342.503428568824
131;16;486.10980209278057;750.1218146480261;-264.0120125552455;264.0120125552455
