Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
8;38;835.0025437005971;777.0259730702462;57.97657063035092;57.97657063035092
9;111;698.7649343691431;647.4101996432595;51.354734725883645;51.354734725883645
19;93;529.5945494648025;581.7259804042944;-52.131430939491906;52.131430939491906
28;219;895.4670545390924;1081.9871246208102;-186.5200700817178;186.5200700817178
33;182;472.6778368028688;486.9478523163816;-14.270015513512817;14.270015513512817
34;32;197.7520473042601;238.34582481961695;-40.59377751535686;40.59377751535686
37;66;834.4592107938065;1016.096017700366;-181.6368069065595;181.6368069065595
41;78;441.7550714599617;548.4056278022625;-106.65055634230083;106.65055634230083
45;68;1437.1162494877562;1233.5037875697556;203.6124619180007;203.6124619180007
52;15;435.9959108814156;496.96500279102685;-60.96909190961122;60.96909190961122
57;22;362.2413325854372;464.9483295218868;-102.70699693644963;102.70699693644963
58;81;468.77912467262274;503.966887403507;-35.18776273088423;35.18776273088423
60;202;601.0082003975135;660.5914651765773;-59.583264779063825;59.583264779063825
67;176;635.281982680574;418.2359564658265;217.04602621474743;217.04602621474743
72;218;833.4905538907673;767.7354629736382;65.75509091712911;65.75509091712911
81;214;1204.3880072915085;931.0473325409874;273.3406747505211;273.3406747505211
82;216;1082.5267819422024;882.3801898267124;200.14659211549008;200.14659211549008
92;207;711.4636684158747;696.4467094157441;15.016959000130669;15.016959000130669
99;69;1371.8347345196719;1174.526368787973;197.3083657316988;197.3083657316988
110;48;637.1437330130334;821.3427576563158;-184.19902464328243;184.19902464328243
118;192;694.055785105972;668.8977920644761;25.157993041495843;25.157993041495843
120;103;795.8513764126492;583.9690250733255;211.8823513393237;211.8823513393237
124;9;461.9109869970208;678.3564120580559;-216.44542506103505;216.44542506103505
127;180;572.3280323580076;631.6050859227578;-59.27705356475019;59.27705356475019
133;190;543.0842393453468;594.8657856828772;-51.78154633753047;51.78154633753047
134;198;525.0910879859647;608.5700910085419;-83.47900302257722;83.47900302257722
