Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;log2;20.0
2;100;10;1;sqrt;20.0
3;500;5;2;log2;20.0
4;100;10;4;sqrt;10.0
5;200;10;4;0.3;
6;300;5;4;log2;20.0
7;300;2;2;log2;
8;200;10;2;0.3;10.0
9;200;5;1;log2;20.0
10;100;2;2;sqrt;20.0
11;100;5;4;sqrt;
12;200;5;4;sqrt;
13;200;5;1;0.3;10.0
14;100;5;4;sqrt;10.0
15;300;2;4;sqrt;
16;200;5;2;0.3;
17;300;10;4;log2;10.0
18;500;2;4;sqrt;20.0
19;200;10;4;log2;10.0
20;300;10;1;sqrt;20.0
21;300;5;1;sqrt;20.0
22;100;5;1;0.3;10.0
23;100;2;1;log2;
24;500;2;4;0.3;
25;300;2;1;0.3;20.0
26;500;2;2;log2;
27;200;10;4;log2;
28;500;10;1;0.3;10.0
29;200;2;1;sqrt;20.0
30;500;5;1;sqrt;20.0
