Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;951295;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,4,21)), list('snv','');0.7867;174.3079;0.7203;199.9615;1.9232
2;599417;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.8044;172.7763;0.6979;185.2411;1.8504
3;839222;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(0, 2, 21));0.746;193.7446;0.8163;156.6267;2.3729
4;731107;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7683;183.2076;0.8055;160.0237;2.3064
5;466666;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.7841;180.3936;0.816;149.5334;2.371
6;161569;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7863;180.6325;0.735;173.2262;1.9757
7;166590;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7554;169.8553;0.8206;218.7841;2.4015
8;483428;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,31));0.7827;174.9492;0.6649;234.5392;1.757
9;540369;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.7607;190.9099;0.8091;146.4802;2.3279
10;912143;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2');0.7981;176.4577;0.531;222.7828;1.4851
