Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
7;48;805.7869941574202;969.0774742529758;-163.2904800955556
33;35;570.2161713058938;673.8070435659591;-103.59087226006534
42;180;714.9080840097598;693.2966925953586;21.61139141440117
47;43;1077.0906733080324;981.1987144832293;95.89195882480305
49;26;442.3454072586879;631.2016818501147;-188.85627459142682
51;176;816.0585780003827;568.2150578611075;247.84352013927514
55;95;755.6534931542423;861.3282161569847;-105.67472300274244
58;194;1340.0235194186662;1123.276211645858;216.7473077728082
59;50;760.6500636262343;875.3419781226467;-114.69191449641232
60;181;808.7490222478502;728.8177877265616;79.93123452128862
62;77;859.7131420104853;862.7522000312877;-3.039058020802372
64;117;250.55923211010074;445.8235952496558;-195.26436313955506
76;52;214.06405558024804;511.36996984440214;-297.3059142641541
80;37;1126.5124253491608;1086.1176444600696;40.39478088909118
89;205;1061.080039020698;1334.7401776047323;-273.66013858403426
91;94;527.7694803933506;733.5344389375308;-205.76495854418022
92;9;597.9501475990058;795.1781293700079;-197.22798177100208
96;62;576.4518768369935;676.8784031902946;-100.42652635330114
99;18;535.8921617581435;711.4265562916668;-175.53439453352325
106;112;1677.3037055955087;1560.1134494686492;117.1902561268596
112;22;511.88904717948526;646.2405176602047;-134.3514704807194
113;60;513.531320597723;564.2153522374242;-50.684031639701175
116;40;1238.6598518103233;937.779067751208;300.8807840591153
121;187;1299.3307855271096;1243.3248326163207;56.00595291078889
129;21;698.0589081227727;963.2970975766235;-265.23818945385085
131;111;827.8023088506277;840.8752937806664;-13.072984930038729
132;15;500.7614911064267;675.7321575327318;-174.97066642630506
