Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
5;12;536.569228597625;621.9311645895764;-85.36193599195133;85.36193599195133
7;38;928.9677337259094;973.0549267462428;-44.087193020333416;44.087193020333416
12;174;820.1891107563565;723.2310106949013;96.95810006145518;96.95810006145518
16;24;599.9505744212669;691.3975243022469;-91.44694988098001;91.44694988098001
21;15;500.7614800832593;662.9707591211753;-162.20927903791602;162.20927903791602
25;65;904.8833519593445;1260.5762787951344;-355.6929268357899;355.6929268357899
28;89;682.6245319594885;787.8764344486467;-105.25190248915817;105.25190248915817
31;42;1772.3850344553252;1430.0149731020363;342.370061353289;342.370061353289
52;195;933.3090899919699;665.453548969337;267.8555410226329;267.8555410226329
55;71;891.0915070157477;901.9483772676315;-10.856870251883834;10.856870251883834
58;19;572.9005586686751;629.4178097620368;-56.517251093361665;56.517251093361665
65;49;696.5098525583522;1060.8407397149367;-364.3308871565845;364.3308871565845
66;204;1468.9580567378603;1323.2919527468935;145.6661039909668;145.6661039909668
67;64;309.9152529328587;379.0182019048566;-69.10294897199788;69.10294897199788
72;111;827.8023327428538;842.0201470578135;-14.217814314959696;14.217814314959696
73;98;405.1977794461509;496.4877606431494;-91.2899811969985;91.2899811969985
74;189;412.30104924295534;535.3556660397998;-123.05461679684441;123.05461679684441
80;85;785.9355067442971;710.2394809845657;75.69602575973136;75.69602575973136
81;187;1299.3307718565195;1145.230296690192;154.10047516632744;154.10047516632744
91;5;778.7260406631337;781.7025928230277;-2.976552159893913;2.976552159893913
92;83;987.0361491535836;752.2870378271157;234.74911132646787;234.74911132646787
95;194;1340.0235342470216;1002.4548470738488;337.56868717317286;337.56868717317286
96;28;468.945214049267;473.8655600244183;-4.920345975151292;4.920345975151292
100;31;183.1360318819571;390.98566055936817;-207.84962867741106;207.84962867741106
104;7;521.2726988904573;756.6688029746194;-235.39610408416218;235.39610408416218
127;22;511.889068705758;641.072842434707;-129.183773728949;129.183773728949
132;218;1038.0106378750615;996.7742533821064;41.23638449295515;41.23638449295515
