Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;log2;
2;100;10;1;log2;10.0
3;500;5;4;0.3;
4;200;10;1;0.3;20.0
5;300;5;4;sqrt;20.0
6;200;2;1;0.3;20.0
7;200;5;2;0.3;10.0
8;300;2;4;0.3;
9;100;10;1;sqrt;
10;200;5;4;sqrt;10.0
11;300;2;4;sqrt;10.0
12;500;2;4;log2;10.0
13;500;5;4;log2;10.0
14;100;2;2;sqrt;10.0
15;200;5;4;log2;10.0
16;200;5;2;0.3;
17;500;5;1;sqrt;
18;100;5;4;sqrt;
19;300;10;1;0.3;20.0
20;300;2;1;log2;10.0
21;200;2;4;log2;10.0
22;500;10;4;sqrt;10.0
23;500;10;2;log2;10.0
24;100;10;1;log2;
25;300;10;1;sqrt;10.0
26;500;10;1;log2;10.0
27;200;2;2;0.3;
28;100;10;1;log2;20.0
29;500;5;1;0.3;
30;200;10;1;log2;10.0
