Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;log2;10.0
2;200;2;2;sqrt;
3;100;2;2;sqrt;10.0
4;100;2;1;log2;10.0
5;200;10;2;0.3;
6;200;5;1;sqrt;20.0
7;200;2;2;0.3;20.0
8;200;2;2;0.3;
9;200;2;1;log2;
10;500;10;1;0.3;20.0
11;100;5;2;log2;20.0
12;100;5;2;sqrt;
13;100;2;2;log2;10.0
14;500;10;2;sqrt;20.0
15;100;2;4;log2;10.0
16;500;5;4;log2;20.0
17;300;5;4;log2;
18;200;5;2;sqrt;20.0
19;500;5;2;0.3;10.0
20;300;10;1;sqrt;
21;200;2;2;sqrt;20.0
22;100;10;4;log2;
23;300;2;2;sqrt;10.0
24;300;5;2;0.3;10.0
25;100;5;2;0.3;10.0
26;200;5;1;log2;20.0
27;300;10;2;log2;10.0
28;100;10;1;sqrt;10.0
29;300;2;1;log2;20.0
30;300;5;2;log2;
