Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;540411;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));0.7653;116.2654;0.7533;92.7882;2.0479
2;643896;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7234;111.5322;0.7891;136.9979;2.2148
3;894674;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7741;106.949;0.6912;140.0841;1.8303
4;424120;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.76;118.1924;0.6576;102.69;1.7382
5;444832;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7274;119.8993;0.7279;124.5529;1.9497
6;993109;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7499;116.6585;0.7846;103.1347;2.1916
7;900226;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.6998;119.8746;0.7342;142.8078;1.9729
8;4595;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1,3,21));0.7433;114.553;0.6529;149.0653;1.7263
9;21888;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 21));0.7397;115.873;0.5215;170.9229;1.4704
10;766142;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.7145;118.0278;0.7908;121.4646;2.2239
