Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;4;log2;20.0
2;500;2;1;0.3;10.0
3;300;2;4;sqrt;10.0
4;100;2;1;0.3;10.0
5;500;5;2;sqrt;
6;300;10;4;sqrt;
7;200;10;2;log2;10.0
8;300;5;4;log2;10.0
9;200;2;1;0.3;
10;300;10;1;sqrt;20.0
11;100;5;1;log2;20.0
12;100;5;1;0.3;
13;100;2;4;sqrt;20.0
14;100;10;1;log2;
15;500;5;2;log2;20.0
16;300;2;2;0.3;20.0
17;100;2;4;0.3;20.0
18;200;5;4;0.3;20.0
19;300;2;1;sqrt;20.0
20;500;5;1;log2;20.0
21;200;2;2;0.3;
22;300;10;4;0.3;10.0
23;200;5;4;log2;
24;300;2;1;sqrt;10.0
25;300;5;1;0.3;20.0
26;200;10;1;log2;
27;300;5;1;sqrt;
28;200;5;1;log2;10.0
29;100;10;2;log2;
30;200;10;4;sqrt;10.0
