Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
7;88;260.123322603295;282.6385524814663;-22.51522987817134;22.51522987817134
14;63;575.1746947406493;498.94242421784185;76.23227052280748;76.23227052280748
28;220;530.9417189093806;492.78851132118444;38.15320758819615;38.15320758819615
29;51;685.2746568506417;703.3482762286635;-18.073619378021817;18.073619378021817
36;171;597.9042294705805;600.5781201377954;-2.6738906672148914;2.6738906672148914
41;95;495.5669213773789;530.5793056578659;-35.012384280487026;35.012384280487026
45;195;515.2937501108748;375.11422204631805;140.1795280645568;140.1795280645568
49;192;468.6962461803983;491.9375128418473;-23.241266661449004;23.241266661449004
52;86;339.2598531951448;458.27779334421047;-119.01794014906568;119.01794014906568
55;12;262.5178946466855;368.8878310849354;-106.36993643824991;106.36993643824991
59;26;242.87771925970353;360.2179116082513;-117.34019234854779;117.34019234854779
61;115;269.09487884939983;287.4461062769446;-18.351227427544757;18.351227427544757
63;79;274.47957729721855;366.03941958025024;-91.55984228303168;91.55984228303168
72;39;556.5154621142437;449.437952243343;107.07750987090077;107.07750987090077
74;111;520.7062768588956;499.6029104058734;21.10336645302226;21.10336645302226
80;208;397.7267818756585;404.99913587515846;-7.2723539994999555;7.2723539994999555
81;92;632.4966868179015;615.7610460371953;16.73564078070615;16.73564078070615
84;1;451.99630420020367;421.6933289863486;30.302975213855063;30.302975213855063
88;19;347.2557189180775;363.0912685005643;-15.835549582486806;15.835549582486806
92;205;646.3029448644598;841.4224946653059;-195.11954980084602;195.11954980084602
114;72;370.50833277456286;401.646637319966;-31.138304545403116;31.138304545403116
118;101;478.4251304432789;396.5285879281285;81.89654251515037;81.89654251515037
119;104;461.3731730843724;440.93697371038667;20.436199373985744;20.436199373985744
122;198;362.6572278803366;441.26394401463796;-78.60671613430134;78.60671613430134
127;80;521.4957553688763;513.0038741324265;8.491881236449785;8.491881236449785
131;102;417.9243319520039;330.26311300924255;87.66121894276137;87.66121894276137
133;74;233.87428486526272;273.27031440494585;-39.39602953968313;39.39602953968313
