Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;log2;
2;200;5;1;0.3;10.0
3;300;5;1;sqrt;20.0
4;100;5;1;log2;20.0
5;200;5;4;0.3;
6;500;10;1;log2;10.0
7;100;5;2;log2;20.0
8;300;10;1;log2;10.0
9;500;2;1;0.3;20.0
10;200;10;4;0.3;20.0
11;200;2;1;log2;20.0
12;300;2;2;log2;10.0
13;300;2;4;log2;10.0
14;200;5;2;sqrt;10.0
15;200;5;2;sqrt;20.0
16;500;5;1;0.3;20.0
17;300;10;2;log2;10.0
18;100;5;2;0.3;20.0
19;200;2;2;log2;
20;100;5;4;0.3;
21;300;5;2;log2;
22;500;10;1;0.3;20.0
23;300;5;2;sqrt;
24;100;5;2;sqrt;10.0
25;300;2;1;log2;
26;100;5;4;sqrt;10.0
27;300;5;4;log2;
28;300;2;2;sqrt;10.0
29;500;2;2;sqrt;10.0
30;100;2;1;sqrt;10.0
