Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;4;sqrt;20.0
2;100;5;2;sqrt;10.0
3;300;10;4;0.3;20.0
4;100;10;1;0.3;
5;200;5;1;0.3;
6;300;2;4;log2;10.0
7;200;10;2;sqrt;10.0
8;500;10;2;0.3;20.0
9;200;5;2;0.3;10.0
10;100;10;1;log2;10.0
11;300;2;4;sqrt;20.0
12;300;2;2;sqrt;20.0
13;500;10;4;sqrt;20.0
14;200;2;4;0.3;20.0
15;300;5;1;0.3;10.0
16;500;2;2;log2;10.0
17;100;2;4;log2;
18;500;5;2;log2;10.0
19;100;2;2;sqrt;
20;300;2;2;sqrt;
21;500;10;1;log2;20.0
22;500;5;1;0.3;
23;200;2;4;log2;
24;100;10;1;0.3;10.0
25;300;10;4;log2;10.0
26;300;2;4;sqrt;
27;300;2;1;log2;20.0
28;100;2;2;sqrt;10.0
29;200;2;4;0.3;10.0
30;100;5;1;sqrt;20.0
