Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;121057;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.3454;0.0972;0.1428;0.0944;1.0985
2;17755;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.2851;0.0994;0.1028;0.1078;1.0738
3;275924;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 21));0.3736;0.0972;0.1505;0.0822;1.1035
4;986643;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.3098;0.0979;0.3363;0.0937;1.2485
5;566449;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 11));0.3773;0.0966;0.1527;0.0844;1.105
6;46036;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.3159;0.0947;0.3264;0.1051;1.2393
7;552395;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.3809;0.0943;0.1265;0.0985;1.0882
8;956418;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 15));0.2898;0.0959;0.3903;0.1026;1.3026
9;775031;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 21));0.3569;0.0939;-0.1321;0.1186;0.9559
10;488067;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 15));0.3493;0.0908;0.214;0.1184;1.1472
