Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;1;log2;
2;500;5;2;sqrt;10.0
3;200;5;1;log2;20.0
4;500;5;2;sqrt;
5;100;10;4;log2;
6;500;2;2;sqrt;
7;500;2;2;log2;
8;500;2;1;sqrt;20.0
9;100;10;4;log2;20.0
10;500;5;2;0.3;
11;200;10;1;sqrt;10.0
12;500;2;2;0.3;20.0
13;200;10;1;log2;10.0
14;200;2;1;log2;20.0
15;200;5;4;log2;10.0
16;300;2;2;0.3;20.0
17;300;2;4;sqrt;20.0
18;300;2;2;0.3;
19;300;2;4;log2;
20;100;2;2;0.3;20.0
21;500;2;1;sqrt;
22;200;5;1;sqrt;10.0
23;500;10;4;0.3;10.0
24;200;2;1;sqrt;
25;300;5;1;0.3;10.0
26;500;2;4;0.3;10.0
27;500;5;4;sqrt;10.0
28;100;5;2;0.3;
29;200;2;2;sqrt;10.0
30;100;5;1;log2;10.0
