Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;log2;10.0
2;500;10;4;log2;
3;300;5;4;sqrt;
4;500;5;4;0.3;20.0
5;200;2;4;sqrt;10.0
6;300;2;2;log2;
7;500;2;2;log2;20.0
8;300;2;1;log2;10.0
9;200;5;2;sqrt;
10;200;10;1;log2;
11;200;2;4;0.3;
12;500;10;4;0.3;20.0
13;100;5;4;log2;20.0
14;500;5;4;0.3;10.0
15;300;10;1;0.3;10.0
16;500;5;4;log2;20.0
17;300;10;1;log2;20.0
18;100;10;4;0.3;10.0
19;200;2;4;log2;10.0
20;300;10;4;0.3;20.0
21;100;5;1;log2;
22;300;5;4;0.3;
23;200;5;4;log2;
24;200;2;2;sqrt;10.0
25;300;10;1;log2;10.0
26;500;5;2;0.3;10.0
27;100;5;2;0.3;10.0
28;200;10;1;0.3;
29;300;2;1;sqrt;20.0
30;200;10;4;0.3;10.0
