Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;1;log2;20.0
2;300;10;1;0.3;
3;100;10;4;0.3;20.0
4;200;10;4;0.3;10.0
5;500;2;1;0.3;10.0
6;100;5;4;sqrt;20.0
7;500;10;1;sqrt;20.0
8;300;10;4;0.3;
9;500;5;2;0.3;20.0
10;500;2;2;sqrt;
11;500;10;4;log2;10.0
12;300;10;2;0.3;20.0
13;200;2;2;0.3;10.0
14;200;10;4;log2;20.0
15;500;2;2;0.3;
16;200;5;1;sqrt;
17;100;2;2;log2;10.0
18;300;10;4;0.3;20.0
19;300;10;4;sqrt;
20;100;2;4;sqrt;
21;100;2;1;sqrt;20.0
22;200;5;2;sqrt;10.0
23;500;2;2;log2;20.0
24;500;2;1;sqrt;
25;500;2;2;sqrt;20.0
26;500;2;4;log2;20.0
27;200;2;4;0.3;20.0
28;100;10;4;sqrt;20.0
29;500;10;1;0.3;10.0
30;500;10;4;log2;
