Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
5;M121;0.3962463924994046;0.4949924491571511;-0.09874605665774655;0.09874605665774655
9;M288;0.6220846544736166;0.6228845096096531;-0.0007998551360365314;0.0007998551360365314
15;M109;0.5901193610974549;0.5078433232806601;0.08227603781679482;0.08227603781679482
20;M2;0.5530635663881746;0.6160203160440959;-0.06295674965592135;0.06295674965592135
29;M268;0.48412949585227655;0.4890389667824501;-0.004909470930173576;0.004909470930173576
35;M164;0.5577685671283401;0.5662857821726568;-0.008517215044316684;0.008517215044316684
48;M154;0.4121419835729894;0.40494205022205043;0.007199933350938992;0.007199933350938992
49;M204;0.5878833356628672;0.6055184809693113;-0.017635145306444056;0.017635145306444056
55;M224;0.7082410159288204;0.6528378044806735;0.05540321144814686;0.05540321144814686
56;M296;0.6088956310131338;0.5964091982076096;0.012486432805524195;0.012486432805524195
57;M298;0.45985827590008277;0.5729379549020193;-0.1130796790019365;0.1130796790019365
60;M29;0.5392430983546542;0.5058208415322508;0.03342225682240341;0.03342225682240341
68;M14;0.4785682930650821;0.5649181515577025;-0.08634985849262045;0.08634985849262045
69;M220;0.5781041445572503;0.6006748879140362;-0.022570743356785883;0.022570743356785883
71;M251;0.6468079767597317;0.6515506671523524;-0.004742690392620763;0.004742690392620763
77;M276;0.7159697975817884;0.6398037133685666;0.0761660842132218;0.0761660842132218
80;M158;0.6630621426562625;0.6292888899975339;0.03377325265872866;0.03377325265872866
89;M167;0.512225642662161;0.4689655559946604;0.043260086667500586;0.043260086667500586
93;M159;0.6264211130378006;0.636120806512457;-0.009699693474656379;0.009699693474656379
94;M174;0.6629312972116624;0.6559835647064766;0.006947732505185877;0.006947732505185877
95;M147;0.28379312095928627;0.5308782330469742;-0.24708511208768796;0.24708511208768796
97;M217;0.5104770464724346;0.5767018063865351;-0.06622475991410048;0.06622475991410048
109;M162;0.4991153243410004;0.5545543282235648;-0.05543900388256434;0.05543900388256434
