Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;111759;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 11));0.5691;3.5285;0.3989;2.7525;1.3119
2;415351;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 9));0.4995;3.5771;0.6069;3.3629;1.6222
3;730591;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.5625;3.5259;0.4591;3.1068;1.383
4;405741;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.5909;3.4522;0.2122;3.4442;1.146
5;732720;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.6292;3.2545;0.3162;3.3658;1.23
6;435656;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.4968;3.2108;0.585;4.4603;1.5788
7;761698;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.5482;3.6161;0.4306;2.7816;1.3479
8;629905;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.5162;3.5547;0.6755;2.9354;1.7856
9;778395;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.5173;3.6466;0.5957;2.8452;1.5996
10;229534;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.5015;3.7209;0.5216;3.1133;1.4704
