Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
6;M137;84.04605765863043;82.62753530093312;1.418522357697313;1.418522357697313
10;M273;78.21001542560043;76.01276589351602;2.197249532084413;2.197249532084413
16;M158;83.2502443771247;83.09848628347805;0.15175809364664872;0.15175809364664872
17;M176;73.5172898716888;76.26929448586164;-2.752004614172833;2.752004614172833
23;M223;78.52673067528205;81.05996374700116;-2.53323307171911;2.53323307171911
29;M151;84.6831539936131;82.69579762050559;1.9873563731075166;1.9873563731075166
31;M248;78.61975398293387;83.37525238301102;-4.755498400077144;4.755498400077144
32;M70;72.59547852278185;72.17681564804134;0.41866287474050523;0.41866287474050523
34;M161;80.6933894228907;79.38656029663004;1.3068291262606664;1.3068291262606664
36;M69;80.2744177915635;82.50159118664357;-2.2271733950800723;2.2271733950800723
40;M208;81.48633196861235;77.28855381638945;4.197778152222895;4.197778152222895
43;M197;84.90514884351718;79.28576833488282;5.6193805086343644;5.6193805086343644
45;M258;75.5745952147801;79.01048769307644;-3.4358924782963385;3.4358924782963385
56;M251;76.2582493128012;77.63691448679648;-1.3786651739952873;1.3786651739952873
63;M109;80.93982893665026;80.37292249886286;0.5669064377873951;0.5669064377873951
65;M174;74.88515812525822;75.80550604508268;-0.9203479198244651;0.9203479198244651
66;M234;86.91751356240029;83.5534941430458;3.3640194193544914;3.3640194193544914
68;M117;81.95153003532899;80.55466529609198;1.396864739237003;1.396864739237003
79;M246;85.19487091760776;84.18924600166226;1.0056249159455035;1.0056249159455035
84;M264;86.42248481729781;83.1339448540738;3.288539963224011;3.288539963224011
94;M209;81.51817672337853;83.83334638180442;-2.315169658425887;2.315169658425887
109;M99;81.24196257550392;80.45141377353923;0.7905488019646896;0.7905488019646896
110;M15;80.38667925554084;80.99823144258909;-0.6115521870482468;0.6115521870482468
