Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M121;79.2330514517461;79.25664730025173;-0.023595848505621575;0.023595848505621575
7;M14;80.27074521333121;80.57168324831842;-0.3009380349872117;0.3009380349872117
12;M79;74.67338845659353;75.31469102784457;-0.6413025712510461;0.6413025712510461
17;M84;76.1496198981464;75.40599341327649;0.7436264848699068;0.7436264848699068
31;M220;83.30274271872725;84.56458849455161;-1.2618457758243693;1.2618457758243693
34;M144;82.01470740124061;83.23963683210499;-1.2249294308643783;1.2249294308643783
36;M35;76.16222548888791;78.29743891998262;-2.135213431094712;2.135213431094712
40;M72;76.72030390372693;81.31496517156717;-4.594661267840237;4.594661267840237
49;M6;79.47203534730899;81.84974252373215;-2.377707176423158;2.377707176423158
54;M270;84.44924936343797;82.17125023811242;2.2779991253255503;2.2779991253255503
58;M138;85.77471617765704;83.47599114335675;2.29872503430029;2.29872503430029
64;M223;78.5267293983556;81.20440556921511;-2.677676170859513;2.677676170859513
65;M70;72.59546418390055;71.44646000994538;1.1490041739551629;1.1490041739551629
70;M268;84.75969350614176;81.1852603379592;3.5744331681825514;3.5744331681825514
71;M183;77.04265801610354;81.23830066522916;-4.195642649125617;4.195642649125617
75;M161;80.69342000586977;80.71594370989602;-0.022523704026255587;0.022523704026255587
79;M209;81.51817486172162;84.6135519041064;-3.095377042384783;3.095377042384783
81;M7;76.98705670852787;72.6346965087891;4.352360199738769;4.352360199738769
94;M272;82.93894259814896;84.71324670599888;-1.7743041078499289;1.7743041078499289
100;M286;89.78686155874554;85.13893370733;4.647927851415545;4.647927851415545
105;M145;77.66226336740972;77.7231336965794;-0.060870329169674164;0.060870329169674164
108;M283;85.28973023727988;83.10938792460682;2.180342312673062;2.180342312673062
112;M219;85.59448104460434;85.46558313893448;0.12889790566985937;0.12889790566985937
