Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;2;0.3;10.0
2;200;2;4;log2;20.0
3;500;10;4;sqrt;10.0
4;500;5;1;0.3;
5;200;10;2;0.3;10.0
6;300;10;1;sqrt;20.0
7;100;2;2;0.3;
8;500;10;1;sqrt;
9;300;10;4;log2;10.0
10;500;5;4;sqrt;20.0
11;200;5;4;sqrt;20.0
12;300;5;4;log2;
13;300;2;1;sqrt;
14;300;5;4;sqrt;10.0
15;100;5;1;sqrt;20.0
16;300;10;4;sqrt;10.0
17;500;10;2;log2;10.0
18;300;10;1;log2;20.0
19;500;10;2;sqrt;10.0
20;200;5;2;0.3;
21;300;5;1;sqrt;10.0
22;300;2;2;sqrt;20.0
23;500;10;1;0.3;10.0
24;500;2;2;sqrt;20.0
25;500;5;1;log2;
26;200;2;4;0.3;20.0
27;300;10;2;log2;20.0
28;100;10;2;log2;
29;100;10;4;log2;
30;300;5;2;log2;10.0
