Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
4;M145;179.18649523029856;289.33495614177326;-110.1484609114747
7;M29;212.15666579212817;230.260432769053;-18.103766976924845
8;M180;610.7397176743473;995.58271933558;-384.84300166123273
9;M301;827.0304853052561;725.320003096273;101.71048220898308
14;M250;279.23315086719754;296.1218544396963;-16.88870357249874
18;M155;441.89237314247333;364.4083155113608;77.48405763111253
20;M154;927.140555876963;893.6850448519527;33.45551102501031
25;M268;1016.7962245561728;889.4421431380117;127.35408141816106
26;M177;1373.5716311092258;1080.7445910056576;292.82704010356815
28;M225;1119.4686837569802;680.7732439682728;438.6954397887074
35;M79;1741.9168082254491;1155.7025074902092;586.2143007352399
39;M212;239.84353671813952;329.365724142007;-89.5221874238675
44;M251;371.3527869889631;273.2487717634522;98.10401522551086
50;M49;164.15612236959845;249.07421415085787;-84.91809178125942
57;M48;276.06871160782475;473.6252714060311;-197.55655979820637
69;M103;1078.7792036163603;1115.479642044405;-36.70043842804466
80;M263;992.7813401243108;521.1621408068415;471.6191993174692
85;M258;557.213671915064;440.52898355110597;116.684688363958
86;M38;512.3834449824296;509.4125828882572;2.970862094172446
91;M8;720.1404309707756;811.5748204247483;-91.4343894539727
94;M45;194.17222672337854;395.04933723333386;-200.87711050995532
96;M162;309.22598536485054;481.2354405163951;-172.00945515154456
101;M278;309.05488584629256;409.10887826848835;-100.05399242219579
