Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;2;log2;10.0
2;500;2;4;sqrt;
3;300;5;4;log2;
4;200;5;1;sqrt;10.0
5;300;10;2;sqrt;10.0
6;100;5;4;0.3;20.0
7;200;5;1;log2;20.0
8;300;2;1;0.3;10.0
9;300;2;2;sqrt;10.0
10;100;10;2;sqrt;10.0
11;500;5;2;0.3;20.0
12;100;2;4;log2;
13;200;2;4;sqrt;20.0
14;300;2;2;log2;10.0
15;200;5;4;sqrt;
16;100;10;4;log2;
17;100;2;1;0.3;10.0
18;300;5;4;log2;20.0
19;200;2;1;sqrt;10.0
20;200;10;2;log2;20.0
21;300;10;4;sqrt;10.0
22;200;5;2;log2;
23;200;10;4;sqrt;20.0
24;200;10;4;sqrt;10.0
25;300;10;4;0.3;20.0
26;100;5;1;0.3;20.0
27;200;5;1;sqrt;20.0
28;200;5;4;0.3;
29;300;5;2;0.3;
30;100;5;2;sqrt;20.0
