Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M109;906.0856828059852;866.3332794579676;39.75240334801765;39.75240334801765
2;M157;1067.1368478859104;787.017276835131;280.1195710507793;280.1195710507793
6;M165;1599.995315275673;1241.2646633181264;358.73065195754657;358.73065195754657
9;M146;114.36405783194795;270.5584621612846;-156.19440432933663;156.19440432933663
10;M164;592.8981125948128;447.9134619249749;144.9846506698379;144.9846506698379
22;M285;368.0695478422133;386.8121386466801;-18.74259080446683;18.74259080446683
23;M31;934.5911257666572;1043.3639037000335;-108.77277793337623;108.77277793337623
27;M253;390.8519496560383;378.6101856248939;12.241764031144385;12.241764031144385
31;M38;512.383447418633;474.446256681467;37.93719073716596;37.93719073716596
37;M237;378.94550612774935;487.64853537751753;-108.70302924976818;108.70302924976818
42;M137;1357.9414787531848;667.7078030413054;690.2336757118794;690.2336757118794
44;M200;630.5865544629562;541.2076652387078;89.37888922424838;89.37888922424838
49;M73;327.21800829089847;272.6121063718753;54.605901919023154;54.605901919023154
60;M197;221.92818656757413;508.7150241095179;-286.7868375419438;286.7868375419438
64;M103;1078.7792056938117;1226.344289963547;-147.56508426973528;147.56508426973528
67;M7;989.6655345183472;1174.7388353519932;-185.07330083364604;185.07330083364604
89;M280;391.95017770685854;564.1148107829373;-172.16463307607876;172.16463307607876
92;M10;437.9492825304247;736.4677429892918;-298.5184604588671;298.5184604588671
99;M192;136.23250226430073;253.08776634257455;-116.85526407827382;116.85526407827382
100;M270;1038.2409923527305;888.7649899013666;149.4760024513639;149.4760024513639
107;M271;367.81740903949935;384.3991033397935;-16.581694300294146;16.581694300294146
108;M114;1042.9052135040533;952.1482399261589;90.75697357789443;90.75697357789443
