Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;869.2879098650278;793.3814849505965;75.90642491443134
42;M198;551.8239317136828;512.4515966234161;39.37233509026669
47;M173;276.66095539361226;296.8846320374564;-20.223676643844158
49;M170;1551.444493436183;1218.2845587465524;333.1599346896305
51;M120;736.3371332408396;830.5725889325082;-94.23545569166856
55;M25;260.7874403099952;891.7363722146398;-630.9489319046446
58;M121;271.37759690787624;435.80245703853615;-164.4248601306599
59;M141;284.5911933126343;826.7078628459756;-542.1166695333413
60;M285;786.9425697554512;734.4568455669402;52.485724188511085
62;M104;385.4012881434102;476.7583770176696;-91.35708887425938
64;M176;1581.9041880379336;1962.0826694657746;-380.178481427841
74;M188;1081.2332056464365;822.6954965606818;258.5377090857547
76;M209;951.102868219025;717.1879786382026;233.91488958082243
77;M9;1048.7366408704709;1062.0097615569312;-13.273120686460288
78;M243;575.2159270099264;782.901136150381;-207.68520914045462
89;M238;553.222284702398;720.2048847835711;-166.98260008117302
90;M166;1409.8008751326743;1845.1056166319747;-435.30474149930046
95;M175;788.6276860789185;772.8642807404613;15.763405338457233
97;M284;738.7383429612028;1032.837436638752;-294.09909367754926
98;M70;3008.1691126105525;2460.7450564664045;547.4240561441479
106;M305;667.4232640405086;877.9689534599378;-210.5456894194292
110;M283;673.8971792555409;797.6252557248326;-123.72807646929175
