Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;log2;
2;100;10;1;0.3;20.0
3;100;2;1;0.3;10.0
4;100;5;4;sqrt;
5;200;5;2;0.3;20.0
6;300;2;1;sqrt;
7;300;10;4;0.3;20.0
8;500;5;4;log2;10.0
9;300;2;4;log2;
10;200;10;4;log2;20.0
11;300;10;1;sqrt;10.0
12;500;2;2;sqrt;
13;200;2;2;0.3;20.0
14;100;2;2;sqrt;10.0
15;300;5;2;0.3;
16;200;2;1;0.3;
17;300;2;2;log2;20.0
18;500;10;1;sqrt;10.0
19;100;5;2;log2;
20;200;10;4;0.3;
21;200;10;4;sqrt;10.0
22;100;5;1;sqrt;10.0
23;200;10;1;log2;
24;500;5;2;log2;
25;100;5;4;log2;
26;200;10;2;0.3;
27;500;10;4;sqrt;20.0
28;500;5;1;0.3;20.0
29;200;2;1;sqrt;
30;500;2;2;0.3;20.0
