Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
8;M6;238.86019409088522;622.4902901639953;-383.63009607311005;383.63009607311005
9;M188;1081.2332030236187;756.0685576553224;325.1646453682963;325.1646453682963
12;M300;818.2174992921617;888.8404563332892;-70.6229570411275;70.6229570411275
19;M223;2049.0795109798505;2102.498065058857;-53.4185540790063;53.4185540790063
28;M239;347.2595967446113;408.67519318066064;-61.41559643604933;61.41559643604933
29;M145;278.57051093424997;536.5644135179369;-257.993902583687;257.993902583687
41;M177;2638.100345684289;1943.5302177871868;694.5701278971023;694.5701278971023
45;M84;1639.6383739929456;1850.17275661313;-210.5343826201845;210.5343826201845
48;M79;3671.0433819294162;2351.333727209083;1319.7096547203332;1319.7096547203332
53;M97;425.3422233125242;1812.3415078338041;-1386.99928452128;1386.99928452128
58;M149;336.2478954837808;310.7946481462024;25.453247337578375;25.453247337578375
72;M144;2743.453165703066;1762.3758910341098;981.0772746689563;981.0772746689563
73;M263;1582.414239445981;834.8365414409514;747.5776980050296;747.5776980050296
84;M40;713.4789693090546;906.8689075366713;-193.38993822761665;193.38993822761665
90;M166;1409.8008679832576;1082.048684969544;327.75218301371365;327.75218301371365
95;M251;549.5496102579223;570.147632524762;-20.598022266839735;20.598022266839735
97;M141;284.59117657471154;898.3335272562083;-613.7423506814968;613.7423506814968
99;M159;570.4624488358337;614.9027466584648;-44.44029782263112;44.44029782263112
100;M190;470.8637411269074;663.1547743292397;-192.29103320233224;192.29103320233224
103;M201;351.4886248801049;791.5464804702839;-440.057855590179;440.057855590179
106;M271;539.3693128682471;532.0508966520578;7.318416216189348;7.318416216189348
111;M197;326.6257266794133;712.5542191125808;-385.9284924331675;385.9284924331675
