Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;301.80785986502775;404.278045281905;-102.47018541687726
42;M198;171.4608517136828;170.857108389161;0.6037433245218153
47;M173;103.1531253936123;101.99214001617162;1.1609853774406815
49;M170;922.5088034361828;952.3544793294072;-29.84567589322444
51;M120;223.4824632408397;289.7122649922474;-66.2298017514077
55;M25;115.12378030999521;404.5105892212123;-289.3868089112171
58;M121;144.85032690787625;150.02140776295175;-5.171080855075502
59;M141;124.58496331263432;337.4550129588251;-212.87004964619075
60;M285;418.8730197554513;338.7350574521995;80.13796230325181
62;M104;186.77032814341024;280.183504925047;-93.41317678163674
64;M176;635.9031280379338;732.3787533928473;-96.47562535491352
74;M188;476.03043564643656;520.5278367390414;-44.49740109260483
76;M209;477.4502682190251;291.1859130784517;186.2643551405734
77;M9;545.5293208704707;466.9828277768;78.54649309367068
78;M243;188.0063470099265;416.90502945420735;-228.89868244428087
89;M238;186.05148470239797;334.45104563243075;-148.39956093003278
90;M166;925.1580751326743;491.7859857277288;433.3720894049455
95;M175;318.97986607891846;327.9974671664537;-9.01760108753524
97;M284;508.47720296120275;548.805077591642;-40.327874630439226
98;M70;836.9368126105528;622.4420353630067;214.49477724754615
106;M305;299.29691404050857;388.01874711596616;-88.7218330754576
110;M283;284.49030925554086;381.0673962249465;-96.57708696940563
