Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M29;119.82486732352416;127.00484066268758;-7.179973339163425;7.179973339163425
4;M247;549.6257185564075;584.6500719196017;-35.02435336319422;35.02435336319422
14;M177;1264.528726900011;1175.3825375044769;89.14618939553407;89.14618939553407
15;M260;493.39097027476623;544.9852302563513;-51.59425998158508;51.59425998158508
16;M291;241.8107031480673;218.11877509156156;23.69192805650573;23.69192805650573
26;M223;654.8847727448281;1069.0924727759657;-414.2077000311376;414.2077000311376
32;M237;232.31742482729342;409.5307059309289;-177.21328110363547;177.21328110363547
38;M203;107.7392248493929;155.12539289777513;-47.38616804838223;47.38616804838223
40;M192;62.472701317514755;121.7446902361844;-59.27198891866964;59.27198891866964
45;M197;104.697520718011;275.1932005619191;-170.49567984390814;170.49567984390814
59;M280;376.0357458525924;501.6434004314629;-125.6076545788705;125.6076545788705
69;M300;304.30396316774556;318.82827606175397;-14.524312894008403;14.524312894008403
73;M269;496.6912043877264;365.66189696077305;131.02930742695332;131.02930742695332
74;M148;149.2605784596247;277.89212004799475;-128.63154158837006;128.63154158837006
75;M267;753.8497458385797;824.0345983269948;-70.18485248841512;70.18485248841512
81;M263;589.6328694252479;334.9843194311885;254.6485499940594;254.6485499940594
86;M167;588.7420076200129;583.1250852098103;5.616922410202619;5.616922410202619
90;M239;120.20411557048568;159.38285555250272;-39.178739982017035;39.178739982017035
92;M231;155.7174534810021;256.5550513486977;-100.83759786769559;100.83759786769559
97;M306;77.36892953742608;144.92341778300784;-67.55448824558175;67.55448824558175
100;M70;836.9367983832353;848.4224285450696;-11.485630161834251;11.485630161834251
107;M301;321.9488838856605;366.15578628993467;-44.20690240427416;44.20690240427416
110;M88;272.1433221019636;501.8807291479343;-229.7374070459707;229.7374070459707
