Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;2;0.3;
2;500;10;1;sqrt;
3;300;5;1;log2;10.0
4;300;5;2;sqrt;
5;200;10;4;sqrt;
6;200;2;2;log2;20.0
7;200;5;2;log2;20.0
8;500;10;2;0.3;10.0
9;100;10;1;0.3;10.0
10;100;2;2;log2;
11;100;5;4;0.3;20.0
12;100;10;2;sqrt;20.0
13;100;5;1;0.3;
14;500;2;4;sqrt;
15;100;5;4;sqrt;
16;200;5;2;sqrt;20.0
17;500;2;2;0.3;
18;300;10;1;sqrt;10.0
19;200;10;2;sqrt;
20;300;2;2;log2;10.0
21;200;5;1;log2;20.0
22;100;2;1;log2;10.0
23;100;5;1;log2;
24;100;10;2;0.3;
25;200;2;1;log2;
26;100;2;1;0.3;
27;200;10;1;0.3;
28;300;10;2;log2;
29;500;10;1;log2;10.0
30;200;2;4;0.3;10.0
