Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;468810;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.5761;0.2263;0.674;0.2225;1.7813
2;52307;list('adj',''), list('red',c(800,750,1)), list('snv',''), list('sder',c(2,3,15));0.5761;0.2394;0.6489;0.1727;1.7164
3;282542;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.5594;0.2356;0.5598;0.2179;1.5329
4;493976;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.5595;0.2261;0.63;0.2521;1.672
5;118619;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,25));0.5458;0.2424;0.3773;0.2642;1.2889
6;416242;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));0.5718;0.2326;0.5319;0.2403;1.4865
7;935178;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.6032;0.2186;0.4775;0.2767;1.4071
8;902243;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.604;0.2233;0.4998;0.252;1.438
9;37041;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.6103;0.2278;0.5887;0.2018;1.586
10;524622;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.5168;0.2481;0.7096;0.1859;1.8873
