Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;sqrt;20.0
2;300;2;2;0.3;10.0
3;300;5;1;0.3;20.0
4;500;10;4;sqrt;10.0
5;100;5;4;sqrt;10.0
6;300;10;4;0.3;
7;100;2;2;log2;
8;100;5;4;log2;
9;500;10;4;log2;20.0
10;500;10;4;0.3;20.0
11;300;2;2;log2;
12;300;5;2;log2;
13;300;2;1;0.3;20.0
14;500;10;2;0.3;20.0
15;200;10;4;0.3;20.0
16;200;2;2;log2;10.0
17;200;2;1;sqrt;10.0
18;100;10;4;log2;20.0
19;200;10;2;sqrt;
20;100;5;4;0.3;20.0
21;100;10;2;0.3;10.0
22;500;10;4;0.3;
23;200;2;1;sqrt;20.0
24;200;2;2;sqrt;20.0
25;300;2;1;sqrt;
26;200;10;2;log2;
27;300;10;4;log2;20.0
28;500;5;4;sqrt;20.0
29;100;10;2;0.3;
30;300;5;4;0.3;20.0
