Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;674549;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,15)), list('msc','');0.1634;0.5929;0.0564;0.5854;1.0471
2;841795;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 11));0.0963;0.612;0.2452;0.5321;1.1707
3;655727;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 21));0.2194;0.5795;-0.1838;0.6127;0.9348
4;239249;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(0, 2, 15));0.168;0.5797;-0.2314;0.7035;0.9166
5;23638;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 11));0.1761;0.5826;0.1061;0.5963;1.0757
6;322926;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1));0.1072;0.5863;0.077;0.6914;1.0587
7;843975;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 5));0.174;0.5962;0.1013;0.5363;1.0729
8;301191;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 11));0.0952;0.6109;0.2326;0.5518;1.1611
9;87398;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 5));0.1475;0.5888;-0.0433;0.6396;0.9958
10;704631;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.0721;0.6236;0.0673;0.5755;1.0531
