Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;2;sqrt;20.0
2;200;2;4;log2;10.0
3;500;10;4;sqrt;
4;300;2;4;0.3;10.0
5;200;2;1;log2;
6;500;2;1;log2;
7;100;5;1;0.3;20.0
8;200;10;2;0.3;10.0
9;100;10;4;0.3;20.0
10;200;5;1;0.3;10.0
11;300;5;1;0.3;
12;200;10;4;sqrt;10.0
13;100;2;4;log2;20.0
14;500;2;2;sqrt;10.0
15;300;10;1;0.3;
16;100;5;2;sqrt;10.0
17;500;10;4;0.3;10.0
18;100;2;1;sqrt;20.0
19;500;10;4;0.3;
20;200;2;1;0.3;20.0
21;300;5;2;sqrt;
22;300;2;4;log2;20.0
23;100;5;2;log2;
24;200;5;4;log2;10.0
25;100;10;4;0.3;
26;300;5;2;sqrt;20.0
27;300;10;2;sqrt;10.0
28;100;10;1;log2;
29;300;10;4;log2;20.0
30;300;5;2;0.3;
