Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;413210;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(0, 2, 15));0.4531;28.5303;0.5013;23.8187;1.4403
2;77887;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.4474;27.7061;0.1931;34.2408;1.1323
3;58846;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.4729;27.259;0.4316;28.4106;1.349
4;888811;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.36;30.6251;0.6582;20.4641;1.7397
5;946125;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.498;25.8366;0.2398;36.3364;1.1665
6;32613;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.4653;28.6398;0.587;19.9773;1.5826
7;19906;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.5895;24.8004;-0.0967;34.4786;0.9712
8;881005;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.4349;27.2014;0.5688;27.9292;1.5488
9;918687;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.4437;28.2814;0.607;22.5556;1.6224
10;500422;list('adj',''), list('red',c(1,1000,1)), list('snv','');0.4957;28.2601;-0.766;31.2256;0.7654
