Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;0.3;
2;100;10;4;sqrt;20.0
3;100;5;2;sqrt;20.0
4;200;5;4;0.3;20.0
5;500;10;2;sqrt;10.0
6;200;5;2;log2;
7;100;2;4;sqrt;10.0
8;300;10;4;log2;20.0
9;100;2;1;0.3;
10;300;10;2;sqrt;20.0
11;300;2;4;sqrt;10.0
12;200;2;4;0.3;
13;300;2;4;log2;
14;500;5;2;0.3;10.0
15;500;2;4;0.3;20.0
16;100;5;1;log2;
17;500;2;2;sqrt;20.0
18;200;2;1;sqrt;20.0
19;300;10;4;0.3;
20;300;10;4;sqrt;20.0
21;100;5;4;sqrt;10.0
22;200;2;2;0.3;20.0
23;300;10;1;0.3;
24;300;2;2;sqrt;10.0
25;500;2;4;sqrt;20.0
26;300;2;2;log2;10.0
27;100;10;1;0.3;20.0
28;100;10;1;log2;
29;300;2;2;0.3;20.0
30;300;2;2;0.3;
