Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;2;0.3;
2;200;10;2;0.3;10.0
3;300;2;1;0.3;10.0
4;100;2;1;0.3;10.0
5;300;5;1;sqrt;20.0
6;500;10;2;log2;10.0
7;300;10;1;0.3;
8;300;5;2;sqrt;20.0
9;200;5;1;0.3;10.0
10;100;5;1;sqrt;10.0
11;200;10;1;log2;
12;300;10;4;log2;
13;500;2;1;sqrt;10.0
14;500;10;2;log2;20.0
15;300;2;1;0.3;
16;300;5;2;0.3;10.0
17;100;2;2;log2;20.0
18;100;5;4;0.3;10.0
19;300;5;4;log2;10.0
20;200;2;1;sqrt;10.0
21;500;10;4;0.3;20.0
22;200;2;1;log2;
23;100;5;2;log2;20.0
24;500;10;1;sqrt;20.0
25;500;5;4;0.3;10.0
26;300;10;1;log2;20.0
27;200;2;4;0.3;10.0
28;500;10;4;sqrt;10.0
29;200;5;4;sqrt;10.0
30;500;2;4;0.3;20.0
