Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;4;0.3;10.0
2;200;10;4;0.3;
3;100;5;1;log2;20.0
4;500;2;1;sqrt;10.0
5;500;2;4;0.3;
6;100;10;2;sqrt;
7;200;10;1;0.3;
8;300;2;1;0.3;10.0
9;200;10;1;sqrt;
10;300;5;4;0.3;10.0
11;500;10;2;sqrt;20.0
12;500;10;1;0.3;
13;300;2;2;log2;20.0
14;500;10;4;log2;10.0
15;100;5;4;log2;
16;100;2;1;log2;20.0
17;500;5;4;sqrt;20.0
18;500;10;1;log2;10.0
19;500;5;2;log2;
20;300;10;2;sqrt;10.0
21;200;5;1;sqrt;
22;500;5;1;log2;10.0
23;300;10;2;log2;10.0
24;200;5;1;0.3;10.0
25;200;2;1;log2;10.0
26;500;5;4;0.3;10.0
27;300;10;4;sqrt;
28;100;5;2;log2;
29;500;2;1;0.3;
30;300;2;2;sqrt;
