Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
6;M164;0.4422101461705327;0.48397631510476063;-0.04176616893422791;0.04176616893422791
13;M204;0.41214518776245657;0.5015555189966323;-0.08941033123417574;0.08941033123417574
20;M270;0.5449762541028876;0.5390645439813019;0.005911710121585756;0.005911710121585756
26;M166;0.6902964194479041;0.5347094890762815;0.15558693037162263;0.15558693037162263
29;M248;0.7099976376039455;0.4923335946609665;0.21766404294297903;0.21766404294297903
30;M144;0.6250842685595038;0.49331814902888615;0.13176611953061768;0.13176611953061768
46;M269;0.44493707028997825;0.4246013594234019;0.020335710866576373;0.020335710866576373
48;M224;0.29176245373468296;0.4289464519916888;-0.13718399825700583;0.13718399825700583
50;M212;0.346955248572882;0.4031090496551667;-0.05615380108228468;0.05615380108228468
52;M73;0.38797261027989466;0.4142807905146918;-0.02630818023479714;0.02630818023479714
58;M177;0.5207540249301083;0.4366815506388598;0.08407247429124848;0.08407247429124848
66;M182;0.46629612328137815;0.3984969187699301;0.06779920451144805;0.06779920451144805
67;M192;0.3655743401085929;0.4415754727310252;-0.0760011326224323;0.0760011326224323
71;M196;0.45777271527439184;0.4821394802173009;-0.02436676494290907;0.02436676494290907
74;M255;0.46120399254526573;0.44198765208613966;0.01921634045912607;0.01921634045912607
75;M280;0.5855692811580119;0.5100256982272229;0.075543582930789;0.075543582930789
80;M161;0.5655156538254766;0.44140883391466207;0.12410681991081457;0.12410681991081457
82;M157;0.6176095699766373;0.5491978194339193;0.06841175054271798;0.06841175054271798
86;M223;0.40254086821016;0.43311154830318155;-0.03057068009302155;0.03057068009302155
97;M123;0.4989042282274509;0.46856894388754994;0.03033528433990096;0.03033528433990096
101;M264;0.6656919719476392;0.488798978584535;0.17689299336310416;0.17689299336310416
112;M199;0.41861977289446534;0.4676660917290638;-0.04904631883459848;0.04904631883459848
