Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;M266;1061.2808507866805;816.7522541154758;244.5285966712047;244.5285966712047
5;M183;1614.8349245351262;1067.6033358735579;547.2315886615684;547.2315886615684
7;M303;605.5094367123992;363.3139729075337;242.19546380486548;242.19546380486548
9;M200;630.586559709992;497.21325625714036;133.37330345285164;133.37330345285164
10;M243;387.2095671676184;521.8062356657089;-134.59666849809048;134.59666849809048
12;M196;294.02837832930396;494.2971776455937;-200.26879931628974;200.26879931628974
26;M155;441.892369626983;378.99690510983595;62.89546451714705;62.89546451714705
30;M104;198.6309411318767;300.57666966530195;-101.94572853342524;101.94572853342524
32;M223;1394.1947366178204;1056.5034392999903;337.69129731783005;337.69129731783005
47;M45;194.17224290570562;368.8059443874039;-174.63370148169827;174.63370148169827
60;M296;292.99413608825205;287.4052959095552;5.588840178696842;5.588840178696842
62;M38;512.3834480607306;485.69847412042805;26.684973940302598;26.684973940302598
64;M298;242.51428004755482;313.61517879057084;-71.10089874301602;71.10089874301602
65;M73;327.2180353340212;334.1655609740947;-6.947525640073536;6.947525640073536
66;M238;367.1708110023942;444.7772055978992;-77.60639459550498;77.60639459550498
77;M138;195.41163545770777;320.23177984728807;-124.82014438958029;124.82014438958029
92;M217;350.0992908451978;373.64503038642476;-23.545739541226965;23.545739541226965
95;M88;454.89991300078844;804.205812127212;-349.3058991264235;349.3058991264235
105;M271;367.81742338448834;297.1195303488539;70.69789303563442;70.69789303563442
108;M282;487.4567688856676;467.8026805218032;19.65408836386439;19.65408836386439
112;M260;771.8848282584681;676.3616054923613;95.52322276610687;95.52322276610687
113;M207;1107.8669194363451;1173.0312193504296;-65.1642999140845;65.1642999140845
